Time Flux
1506.690417 258018.750000
1506.710850 258025.890625
1506.731284 258010.109375
1506.751717 258071.140625
1506.772150 258033.546875
1506.792583 258071.156250
1506.833450 258025.890625
1506.853883 258028.453125
1506.874316 258016.765625
1506.894750 257985.078125
1506.915183 257949.765625
1506.935616 257918.578125
1506.956050 257927.046875
1506.976483 257917.437500
1506.996916 257884.218750
1507.017349 257890.234375
1507.037782 257942.484375
1507.058216 257885.921875
1507.078649 257908.906250
1507.119516 257889.796875
1507.139949 257881.234375
1507.160382 257860.843750
1507.180815 257860.421875
1507.201248 257864.296875
1507.221682 257838.109375
1507.242115 257842.203125
1507.262548 257872.625000
1507.282982 257805.218750
1507.323848 257814.625000
1507.344281 257814.453125
1507.385148 257773.421875
1507.426014 257833.046875
1507.466881 257802.015625
1507.507748 257773.531250
1507.528181 257796.281250
1507.548614 257719.843750
1507.569047 257761.718750
1507.589481 257699.140625
1507.609914 257739.703125
1507.630347 257751.312500
1507.650780 257681.375000
1507.691647 257693.656250
1507.712080 257687.843750
1507.732513 257651.312500
1507.752947 257664.203125
1507.793813 257630.531250
1507.814246 257653.453125
1507.834680 257591.375000
1507.855113 257628.546875
1507.875546 257603.781250
1507.916413 257637.234375
1507.936846 257558.984375
1507.957279 257582.187500
1507.977713 257564.406250
1507.998146 257560.250000
1508.018579 257538.531250
1508.039012 257502.546875
1508.059446 257503.328125
1508.079879 257574.718750
1508.100312 257517.359375
1508.120746 257491.687500
1508.141179 257492.796875
1508.161612 257458.296875
1508.182045 257454.437500
1508.222912 257439.703125
1508.243345 257428.156250
1508.263778 257437.750000
1508.284212 257445.562500
1508.325078 257447.062500
1508.345512 257426.218750
1508.365945 257419.093750
1508.386378 257455.890625
1508.406811 257371.500000
1508.427245 257416.843750
1508.447678 257400.109375
1508.468111 257362.218750
1508.488545 257385.859375
1508.508978 257358.671875
1508.529411 257309.765625
1508.549844 257361.812500
1508.570278 257325.718750
1508.590711 257344.765625
1508.611144 257356.078125
1508.631577 257308.843750
1508.652011 257340.140625
1508.672444 257341.843750
1508.713311 257244.312500
1508.733744 257266.468750
1508.754177 257206.546875
1508.774611 257230.937500
1508.795044 257227.593750
1508.815477 257122.031250
1508.856344 257102.937500
1508.876777 257142.968750
1508.897210 257117.343750
1508.917643 257046.062500
1508.938077 257020.609375
1508.958510 257050.328125
1508.999377 257073.875000
1509.019810 257098.125000
1509.040243 257030.062500
1509.060676 257017.703125
1509.081110 257026.828125
1509.101543 256985.921875
1509.142410 256973.000000
1509.162843 256942.656250
1509.183276 256877.812500
1509.203709 256914.140625
1509.224143 256850.093750
1509.244576 256922.468750
1509.265009 256864.906250
1509.285443 256875.484375
